No,Ecosystem,Package Name,Package Version,File Name,Line No,Issue,Note,,,,,,,,,,,,,,,,,,
,,,,setup.py,13,Hidden Windows-only execution (os.name == “nt”),,,,,,,,,,,,,,,,,,,
,,,,setup.py,"23,26,28",Unusual package metadata (gibberish description/ long description),,,,,,,,,,,,,,,,,,,
,,,,setup.py,"24,25",Suspicious author info. Uses fake credentials to avoid attribution.,,,,,,,,,,,,,,,,,,,
9,,libsuperhydrainfo,,setup.py,,Hidden powershell execution,Uses subprocess.Popen with -WindowStyle Hidden to run commands silently,,,,,,,,,,,,,,,,,,
,,,,setup.py,,Base64-Encoded Command,Obfuscates malicious powershell script,,,,,,,,,,,,,,,,,,
,,,,setup.py,,Silent Execution Flags,Uses CREATE_NO_WINDOW to hide process,,,,,,,,,,,,,,,,,,
,,,,setup.py,,Fake Package Metadata,Claims to be libsuperhudrainfo (legitimate sounding name),,,,,,,,,,,,,,,,,,
,,,,setup.py,,Suspicious Author,EsqueleSquad with ProtonMail,,,,,,,,,,,,,,,,,,
10,,only-a-test,,setup.py,82-99,Custom install class with backdoor,Creates and executes remote-access.py during installation,,,,,,,,,,,,,,,,,,
,,,,setup.py,Jun-80,Reverse shell functionality,Establishes TCP connection (IP:1234) for remote control,,,,,,,,,,,,,,,,,,
,,,,setup.py,Jun-80,Multi-platform payload,Contains both Windows (cmd) and Linux (/bin/bash) reverse shells,,,,,,,,,,,,,,,,,,
,,,,setup.py,97,Hidden execution,Runs via subprocess.Popen with suppressed output,,,,,,,,,,,,,,,,,,
,,,,setup.py,116,Deceptive Metadata,Claims to be “only_a_test” but provides remote access,,,,,,,,,,,,,,,,,,
11,,dpy-bot,,,,,,,,,,,,,,,,,,,,,,,
12,,guisplit,,setup.py,7,Hidden Powershell Execution,Executes commands silently without user knowledge,,,,,,,,,,,,,,,,,,
,,,,setup.py,7,Base64-Encoded Command,Obfuscates malicious activity to evade detection,,,,,,,,,,,,,,,,,,
,,,,setup.py,7,Silent Execution Flags,Hides malicious process from task manager by CREATE_NO_WINDOW,,,,,,,,,,,,,,,,,,
,,,,setup.py,15,Fake Package Metadata,Disguises malware as legitimate package by benign package description,,,,,,,,,,,,,,,,,,
,,,,setup.py,16,Known Malicious Author,Associated with hacking group (EsqueleSquad),,,,,,,,,,,,,,,,,,
13,,tpcraftvisasuper,,setup.py,9,Hidden Powershell Execution,Executes command silently without user knowledge,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,Base64-Encoded Command,Obfuscates malicious activity to evade detection,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,Silent Execution Flags,CREATE_NO_WINDOW hides malicious process from task manager,,,,,,,,,,,,,,,,,,
,,,,setup.py,17,Fake Package Meta Data,"Claims to be ""A library for creating a terminal user interface”",,,,,,,,,,,,,,,,,,
,,,,setup.py,18,Known Malicious Author,Associated with hacking group (EsqueleSquad),,,,,,,,,,,,,,,,,,
14,,selfverrand,,setup.py,8,Hidden Powershell Execution,Executes command silently without user knowledge,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,Base64-Encoded Command,Obfuscates malicious activity to evade detection,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,Silent Execution Flags,CREATE_NO_WINDOW hides malicious process from task manager,,,,,,,,,,,,,,,,,,
,,,,setup.py,16,Fake Package Meta Data,"Claims to be ""A library for creating a terminal user interface”",,,,,,,,,,,,,,,,,,
,,,,setup.py,17,Known Malicious Author,Associated with hacking group (EsqueleSquad),,,,,,,,,,,,,,,,,,
15,,minere,,setup.py,7,Hidden Powershell Execution,Executes command silently without user knowledge,,,,,,,,,,,,,,,,,,
,,,,setup.py,7,Base64-Encoded Command,Obfuscates malicious activity to evade detection,,,,,,,,,,,,,,,,,,
,,,,setup.py,7,Silent Execution Flags,CREATE_NO_WINDOW hides malicious process from task manager,,,,,,,,,,,,,,,,,,
,,,,setup.py,15,Fake Package Meta Data,"Claims to be ""A library for creating a terminal user interface”",,,,,,,,,,,,,,,,,,
,,,,setup.py,16,Known Malicious Author,Associated with hacking group (EsqueleSquad),,,,,,,,,,,,,,,,,,
16,,httptool,,setup.py,7,Hidden Powershell Execution,Executes command silently without user knowledge,,,,,,,,,,,,,,,,,,
,,,,setup.py,7,Base64-Encoded Command,Obfuscates malicious activity to evade detection,,,,,,,,,,,,,,,,,,
,,,,setup.py,7,Silent Execution Flags,CREATE_NO_WINDOW hides malicious process from task manager,,,,,,,,,,,,,,,,,,
,,,,setup.py,15,Fake Package Meta Data,"Claims to be ""A library for creating a terminal user interface”",,,,,,,,,,,,,,,,,,
,,,,setup.py,16,Known Malicious Author,Associated with hacking group (EsqueleSquad),,,,,,,,,,,,,,,,,,
17,,tppyproofpull,,setup.py,8,Hidden Powershell Execution,Executes command silently without user knowledge,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,Base64-Encoded Command,Obfuscates malicious activity to evade detection,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,Silent Execution Flags,CREATE_NO_WINDOW hides malicious process from task manager,,,,,,,,,,,,,,,,,,
,,,,setup.py,16,Fake Package Meta Data,"Claims to be ""A library for creating a terminal user interface”",,,,,,,,,,,,,,,,,,
,,,,setup.py,17,Known Malicious Author,Associated with hacking group (EsqueleSquad),,,,,,,,,,,,,,,,,,
18,,liblgtbpong,,setup.py,8,Hidden Powershell Execution,Executes command silently without user knowledge,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,Base64-Encoded Command,Obfuscates malicious activity to evade detection,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,Silent Execution Flags,CREATE_NO_WINDOW hides malicious process from task manager,,,,,,,,,,,,,,,,,,
,,,,setup.py,16,Fake Package Meta Data,"Claims to be ""A library for creating a terminal user interface”",,,,,,,,,,,,,,,,,,
,,,,setup.py,17,Known Malicious Author,Associated with hacking group (EsqueleSquad),,,,,,,,,,,,,,,,,,
19,,esqmcintel,,setup.py,8,Hidden Powershell Execution,Executes command silently without user knowledge,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,Base64-Encoded Command,Obfuscates malicious activity to evade detection,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,Silent Execution Flags,CREATE_NO_WINDOW hides malicious process from task manager,,,,,,,,,,,,,,,,,,
,,,,setup.py,16,Fake Package Meta Data,"Claims to be ""A library for creating a terminal user interface”",,,,,,,,,,,,,,,,,,
,,,,setup.py,17,Known Malicious Author,Associated with hacking group (EsqueleSquad),,,,,,,,,,,,,,,,,,
20,,py-ccmcstudy,,setup.py,9,Hidden Powershell Execution,Executes command silently without user knowledge,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,Base64-Encoded Command,Obfuscates malicious activity to evade detection,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,Silent Execution Flags,CREATE_NO_WINDOW hides malicious process from task manager,,,,,,,,,,,,,,,,,,
,,,,setup.py,17,Fake Package Meta Data,"Claims to be ""A library for creating a terminal user interface”",,,,,,,,,,,,,,,,,,
,,,,setup.py,18,Known Malicious Author,Associated with hacking group (EsqueleSquad),,,,,,,,,,,,,,,,,,
21,,iaohttp,,setup.py,6-130,Extreme obfuscation,"Uses bitwise operations (<<, >>, &)",,,,,,,,,,,,,,,,,,
22,,tphackedrandomstring,,setup.py,8,Hidden Powershell Execution,Executes command silently without user knowledge,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,Base64-Encoded Command,Obfuscates malicious activity to evade detection,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,Silent Execution Flags,CREATE_NO_WINDOW hides malicious process from task manager,,,,,,,,,,,,,,,,,,
,,,,setup.py,16,Fake Package Meta Data,"Claims to be ""A library for creating a terminal user interface”",,,,,,,,,,,,,,,,,,
,,,,setup.py,17,Known Malicious Author,Associated with hacking group (EsqueleSquad),,,,,,,,,,,,,,,,,,
23,,tpedpingpull,,setup.py,9,Hidden Powershell Execution,Executes command silently without user knowledge,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,Base64-Encoded Command,Obfuscates malicious activity to evade detection,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,Silent Execution Flags,CREATE_NO_WINDOW hides malicious process from task manager,,,,,,,,,,,,,,,,,,
,,,,setup.py,17,Fake Package Meta Data,"Claims to be ""A library for creating a terminal user interface”",,,,,,,,,,,,,,,,,,
,,,,setup.py,18,Known Malicious Author,Associated with hacking group (EsqueleSquad),,,,,,,,,,,,,,,,,,
24,,esqverramstr,,setup.py,8,Hidden Powershell Execution,Executes command silently without user knowledge,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,Base64-Encoded Command,Obfuscates malicious activity to evade detection,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,Silent Execution Flags,CREATE_NO_WINDOW hides malicious process from task manager,,,,,,,,,,,,,,,,,,
,,,,setup.py,16,Fake Package Meta Data,"Claims to be ""A library for creating a terminal user interface”",,,,,,,,,,,,,,,,,,
,,,,setup.py,17,Known Malicious Author,Associated with hacking group (EsqueleSquad),,,,,,,,,,,,,,,,,,
25,,py-cird,,setup.py,7-Jun,Suspicious Description,Suspicious description and long description,,,,,,,,,,,,,,,,,,
,,,,setup.py,16,Obfuscated Code,The code uses Fernet encryption to hide malicious payload,,,,,,,,,,,,,,,,,,
,,,,setup.py,16,Dynamic Code Execution,The code uses exec() to run decrypted code during installation,,,,,,,,,,,,,,,,,,
,,,,setup.py,33,Suspicious Dependencies,"Unusual dependencies for a setup package (fernet, requests)",,,,,,,,,,,,,,,,,,
,,,,setup.py,24-25,Author Anomalies,Author name and email appear randomly generated,,,,,,,,,,,,,,,,,,
,,,,setup.py,13,Targeted Execution,Code specificaaly checks for Windows OS before executing payload,,,,,,,,,,,,,,,,,,
,,,,setup.py,10,Unusual Class,Custom install class that overrides standard behavior,,,,,,,,,,,,,,,,,,
,,,,setup.py,14,Network Capability,Import requests library which could be used for C2 communication,,,,,,,,,,,,,,,,,,
,,,,setup.py,35-37,Limited Classification,"Legitimate packages usually include multiple classifiers (Python version, license, development status, etc.). But, it contains only OS.",,,,,,,,,,,,,,,,,,
,,,,,,No Real Functionality,No legitimate purpose evident from the code structure,,,,,,,,,,,,,,,,,,
26,,tphttpvisa,,setup.py,8,Hidden Powershell Execution,Executes command silently without user knowledge,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,Base64-Encoded Command,Obfuscates malicious activity to evade detection,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,Silent Execution Flags,CREATE_NO_WINDOW hides malicious process from task manager,,,,,,,,,,,,,,,,,,
,,,,setup.py,16,Fake Package Meta Data,"Claims to be ""A library for creating a terminal user interface”",,,,,,,,,,,,,,,,,,
,,,,setup.py,17-18,Known Malicious Author,Associated with hacking group (EsqueleSquad),,,,,,,,,,,,,,,,,,
27,,selfcpure,,setup.py,8,Hidden Powershell Execution,Executes command silently without user knowledge,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,Base64-Encoded Command,Obfuscates malicious activity to evade detection,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,Silent Execution Flags,CREATE_NO_WINDOW hides malicious process from task manager,,,,,,,,,,,,,,,,,,
,,,,setup.py,16,Fake Package Meta Data,"Claims to be ""A library for creating a terminal user interface”",,,,,,,,,,,,,,,,,,
,,,,setup.py,17-18,Known Malicious Author,Associated with hacking group (EsqueleSquad),,,,,,,,,,,,,,,,,,
28,,lgtbad,,setup.py,7,Hidden Powershell Execution,Executes command silently without user knowledge,,,,,,,,,,,,,,,,,,
,,,,setup.py,7,Base64-Encoded Command,Obfuscates malicious activity to evade detection,,,,,,,,,,,,,,,,,,
,,,,setup.py,7,Silent Execution Flags,CREATE_NO_WINDOW hides malicious process from task manager,,,,,,,,,,,,,,,,,,
,,,,setup.py,15,Fake Package Meta Data,"Claims to be ""A library for creating a terminal user interface”",,,,,,,,,,,,,,,,,,
,,,,setup.py,16-17,Known Malicious Author,Associated with hacking group (EsqueleSquad),,,,,,,,,,,,,,,,,,
29,,plauwright,,setup.py,7-Jun,Suspicious Description,Suspicious description and long description,,,,,,,,,,,,,,,,,,
,,,,setup.py,16,Obfuscated Code,The code uses Fernet encryption to hide malicious payload,,,,,,,,,,,,,,,,,,
,,,,setup.py,16,Dynamic Code Execution,The code uses exec() to run decrypted code during installation,,,,,,,,,,,,,,,,,,
,,,,setup.py,33,Suspicious Dependencies,"Unusual dependencies for a setup package (fernet, requests)",,,,,,,,,,,,,,,,,,
,,,,setup.py,24-25,Author Anomalies,Author name and email appear randomly generated,,,,,,,,,,,,,,,,,,
,,,,setup.py,13,Targeted Execution,Code specificaaly checks for Windows OS before executing payload,,,,,,,,,,,,,,,,,,
,,,,setup.py,10,Unusual Class,Custom install class that overrides standard behavior,,,,,,,,,,,,,,,,,,
,,,,setup.py,14,Network Capability,Import requests library which could be used for C2 communication,,,,,,,,,,,,,,,,,,
,,,,setup.py,35-37,Limited Classification,"Legitimate packages usually include multiple classifiers (Python version, license, development status, etc.). But, it contains only OS.",,,,,,,,,,,,,,,,,,
,,,,,,No Real Functionality,No legitimate purpose evident from the code structure,,,,,,,,,,,,,,,,,,
30,,libpepramvm,,setup.py,9,Hidden Powershell Execution,Executes command silently without user knowledge,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,Base64-Encoded Command,Obfuscates malicious activity to evade detection,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,Silent Execution Flags,CREATE_NO_WINDOW hides malicious process from task manager,,,,,,,,,,,,,,,,,,
,,,,setup.py,17,Fake Package Meta Data,"Claims to be ""A library for creating a terminal user interface”",,,,,,,,,,,,,,,,,,
,,,,setup.py,18-19,Known Malicious Author,Associated with hacking group (EsqueleSquad),,,,,,,,,,,,,,,,,,
31,,selfultramineint,,setup.py,9,Hidden Powershell Execution,Executes command silently without user knowledge,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,Base64-Encoded Command,Obfuscates malicious activity to evade detection,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,Silent Execution Flags,CREATE_NO_WINDOW hides malicious process from task manager,,,,,,,,,,,,,,,,,,
,,,,setup.py,17,Fake Package Meta Data,"Claims to be ""A library for creating a terminal user interface”",,,,,,,,,,,,,,,,,,
,,,,setup.py,18-19,Known Malicious Author,Associated with hacking group (EsqueleSquad),,,,,,,,,,,,,,,,,,
32,,httpsing,,setup.py,3,Obfuscated Code,Base64-encoded malicious payload hidden in the script,,,,,,,,,,,,,,,,,,
,,,,setup.py,3,Dynamic Code Execution,Uses exec() to rundecoded malicious code at runtime,,,,,,,,,,,,,,,,,,
,,,,setup.py,3,Hidden Payload,Malicious behavior is obfuscated behind seemingly harmless print('\n'),,,,,,,,,,,,,,,,,,
,,,,setup.py,21-Nov,Legitimate-Setup Masking,Uses a legitimate-looking setup() function to disguise the malware.,,,,,,,,,,,,,,,,,,
33,,strhydra,,setup.py,7,Hidden Powershell Execution,Executes command silently without user knowledge,,,,,,,,,,,,,,,,,,
,,,,setup.py,7,Base64-Encoded Command,Obfuscates malicious activity to evade detection,,,,,,,,,,,,,,,,,,
,,,,setup.py,7,Silent Execution Flags,CREATE_NO_WINDOW hides malicious process from task manager,,,,,,,,,,,,,,,,,,
,,,,setup.py,15,Fake Package Meta Data,"Claims to be ""A library for creating a terminal user interface”",,,,,,,,,,,,,,,,,,
,,,,setup.py,16-17,Known Malicious Author,Associated with hacking group (EsqueleSquad),,,,,,,,,,,,,,,,,,
34,,python-mysql,,setup.py,26,Base64 Obfuscation,Encodes stolen data,,,,,,,,,,,,,,,,,,
,,,,setup.py,26,Data Exfiltration,Collects and sends sensitive system/user data to a remote server,,,,,,,,,,,,,,,,,,
,,,,setup.py,"26, 28",Hardcoded C2 Server,Contacts a suspicious remote domain (mysql.openvc.org),,,,,,,,,,,,,,,,,,
,,,,setup.py,"13, 19",OS-specific spyware,Check OS type (Windows/Linux) and extracts language/locale settings,,,,,,,,,,,,,,,,,,
,,,,setup.py,11,Network Probing,Actively fetches local IP by connecting to 8.8.8.8 (Google DNS),,,,,,,,,,,,,,,,,,
,,,,setup.py,31,Disguised as Legitimate,Masquerades as a MySQL Python package (python-mysql),,,,,,,,,,,,,,,,,,
35,,librandloadad,,setup.py,9,Hidden Powershell Execution,Executes command silently without user knowledge,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,Base64-Encoded Command,Obfuscates malicious activity to evade detection,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,Silent Execution Flags,CREATE_NO_WINDOW hides malicious process from task manager,,,,,,,,,,,,,,,,,,
,,,,setup.py,17,Fake Package Meta Data,"Claims to be ""A library for creating a terminal user interface”",,,,,,,,,,,,,,,,,,
,,,,setup.py,18-19,Known Malicious Author,Associated with hacking group (EsqueleSquad),,,,,,,,,,,,,,,,,,
36,,py-encodeinfogui,,setup.py,8,Hidden Powershell Execution,Executes command silently without user knowledge,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,Base64-Encoded Command,Obfuscates malicious activity to evade detection,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,Silent Execution Flags,CREATE_NO_WINDOW hides malicious process from task manager,,,,,,,,,,,,,,,,,,
,,,,setup.py,16,Fake Package Meta Data,"Claims to be ""A library for creating a terminal user interface”",,,,,,,,,,,,,,,,,,
,,,,setup.py,17-18,Known Malicious Author,Associated with hacking group (EsqueleSquad),,,,,,,,,,,,,,,,,,
37,,colorfy,,,,,,,,,,,,,,,,,,,,,,,
38,,py-pushcc,,setup.py,8,Hidden Powershell Execution,Executes command silently without user knowledge,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,Base64-Encoded Command,Obfuscates malicious activity to evade detection,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,Silent Execution Flags,CREATE_NO_WINDOW hides malicious process from task manager,,,,,,,,,,,,,,,,,,
,,,,setup.py,16,Fake Package Meta Data,"Claims to be ""A library for creating a terminal user interface”",,,,,,,,,,,,,,,,,,
,,,,setup.py,17-18,Known Malicious Author,Associated with hacking group (EsqueleSquad),,,,,,,,,,,,,,,,,,
39,,vercc,,setup.py,7,Hidden Powershell Execution,Executes command silently without user knowledge,,,,,,,,,,,,,,,,,,
,,,,setup.py,7,Base64-Encoded Command,Obfuscates malicious activity to evade detection,,,,,,,,,,,,,,,,,,
,,,,setup.py,7,Silent Execution Flags,CREATE_NO_WINDOW hides malicious process from task manager,,,,,,,,,,,,,,,,,,
,,,,setup.py,15,Fake Package Meta Data,"Claims to be ""A library for creating a terminal user interface”",,,,,,,,,,,,,,,,,,
,,,,setup.py,16-17,Known Malicious Author,Associated with hacking group (EsqueleSquad),,,,,,,,,,,,,,,,,,
40,,grandgui,,setup.py,7,Hidden Powershell Execution,Executes command silently without user knowledge,,,,,,,,,,,,,,,,,,
,,,,setup.py,7,Base64-Encoded Command,Obfuscates malicious activity to evade detection,,,,,,,,,,,,,,,,,,
,,,,setup.py,7,Silent Execution Flags,CREATE_NO_WINDOW hides malicious process from task manager,,,,,,,,,,,,,,,,,,
,,,,setup.py,15,Fake Package Meta Data,"Claims to be ""A library for creating a terminal user interface”",,,,,,,,,,,,,,,,,,
,,,,setup.py,16-17,Known Malicious Author,Associated with hacking group (EsqueleSquad),,,,,,,,,,,,,,,,,,
41,,libcandypushrand,,setup.py,9,Hidden Powershell Execution,Executes command silently without user knowledge,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,Base64-Encoded Command,Obfuscates malicious activity to evade detection,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,Silent Execution Flags,CREATE_NO_WINDOW hides malicious process from task manager,,,,,,,,,,,,,,,,,,
,,,,setup.py,17,Fake Package Meta Data,"Claims to be ""A library for creating a terminal user interface”",,,,,,,,,,,,,,,,,,
,,,,setup.py,18-19,Known Malicious Author,Associated with hacking group (EsqueleSquad),,,,,,,,,,,,,,,,,,
42,,guihydra,,setup.py,7,Hidden Powershell Execution,Executes command silently without user knowledge,,,,,,,,,,,,,,,,,,
,,,,setup.py,7,Base64-Encoded Command,Obfuscates malicious activity to evade detection,,,,,,,,,,,,,,,,,,
,,,,setup.py,7,Silent Execution Flags,CREATE_NO_WINDOW hides malicious process from task manager,,,,,,,,,,,,,,,,,,
,,,,setup.py,15,Fake Package Meta Data,"Claims to be ""A library for creating a terminal user interface”",,,,,,,,,,,,,,,,,,
,,,,setup.py,16-17,Known Malicious Author,Associated with hacking group (EsqueleSquad),,,,,,,,,,,,,,,,,,
43,,selfgrandhackedver,,setup.py,8,Hidden Powershell Execution,Executes command silently without user knowledge,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,Base64-Encoded Command,Obfuscates malicious activity to evade detection,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,Silent Execution Flags,CREATE_NO_WINDOW hides malicious process from task manager,,,,,,,,,,,,,,,,,,
,,,,setup.py,16,Fake Package Meta Data,"Claims to be ""A library for creating a terminal user interface”",,,,,,,,,,,,,,,,,,
,,,,setup.py,17-18,Known Malicious Author,Associated with hacking group (EsqueleSquad),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
44,pypi,selfrandomhackedstudy,5.83,setup.py,9,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"10, 36",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,19,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,18-19,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
45,pypi,esqadinfo,3.86,setup.py,8,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"9, 35",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,16,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,18,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17-18,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
46,pypi,esqurlver,8.77,setup.py,8,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"9, 35",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,16,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,18,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17-18,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
47,pypi,private-library-dont-install,3.3.1,setup.py,168,code_execution_environment_specific,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"187,211",code_accessing_server_with_suspicious_domain,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"187,211",code_download_payload,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"191,215",code_rename_file_extension,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"197,217",code_execution_script_file,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"200-201, 221-222",code_remove_file,,,,,,,,,,,,,,,,,,,
,,,,setup.py,204,code_read_system_and_user_info,,,,,,,,,,,,,,,,,,,
,,,,setup.py,229,code_suppressing_error,,,,,,,,,,,,,,,,,,,
48,pypi,py-cocd,1.0.0,setup.py,"6,7",metadata_description_anomaly,,,,,,,,,,,,,,,,,,,
,,,,setup.py,18-Oct,code_execution_install,,,,,,,,,,,,,,,,,,,
,,,,setup.py,13,code_execution_environment_specific,,,,,,,,,,,,,,,,,,,
,,,,setup.py,16,code_obfuscation_encryption,,,,,,,,,,,,,,,,,,,
,,,,setup.py,16,code_execution_dynamic_evaluation,,,,,,,,,,,,,,,,,,,
,,,,setup.py,24-25,metadata_author_info_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,33,metadata_dependency_suspicious,,,,,,,,,,,,,,,,,,,
49,pypi,loadlib,3.65,setup.py,7,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,7,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,7,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"8, 34",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,15,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,16-17,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
50,pypi,request91,0.0.1,setup.py,22,code_read_system_and_user_info,,,,,,,,,,,,,,,,,,,
